Headline,Link,Description,Published Time,Source
SRF shares soar over 8% in 2 days to hit a new 52-week high. Here’s why,https://economictimes.indiatimes.com/markets/stocks/news/srf-shares-soar-over-8-in-2-days-to-hit-a-new-52-week-high-heres-why/articleshow/117773961.cms,"SRF shares surged 8.5% in two days, hitting a 52-week high after strong Q3 FY25 results. PAT rose 7% YoY to Rs 271 crore, while revenue grew 14% to Rs 3,491 crore. The chemicals and packaging films businesses saw solid growth. Jefferies maintained an 'underperform' rating, citing stretched valuations and muted specialty chemicals demand.","Jan 31, 2025, 11:34 AM IST",Economic Times
Reduce trading size on Budget day: Zerodha’s Nithin Kamath advises caution to traders,https://economictimes.indiatimes.com/markets/stocks/news/reduce-trading-size-on-budget-day-zerodhas-nithin-kamath-advises-caution-to-traders/articleshow/117773758.cms,"Ahead of India's FY26 Union Budget announcement on February 1, Zerodha CEO Nithin Kamath advised traders to exercise caution due to expected market volatility. In a post on X (formerly Twitter), Kamath suggested reducing position sizes on event-heavy days, especially for active traders, to mitigate risks associated with heightened market fluctuations during the budget announcement.","Jan 31, 2025, 11:28 AM IST",Economic Times
Budget 2025: What analysts expect from key sectors,https://economictimes.indiatimes.com/markets/stocks/news/budget-2025-what-analysts-expect-from-key-sectors/slideshow/117773537.cms,"As Finance Minister Nirmala Sitharaman will present the Union Budget FY25-26 tomorrow, various brokerage firms have presented their views on some of the sectors that will be in focus in this year's budget session. According to brokerages, sectors like automobile, defence, railways, real estate, and energy will remain in focus. Here is a list of key sectors that will be focussed in the Union Budget 2025:","Jan 31, 2025, 11:25 AM IST",Economic Times
Suzlon Energy shares soar 16% in three days on strong Q3 earnings report,https://economictimes.indiatimes.com/markets/stocks/news/suzlon-energy-shares-soar-16-in-three-days-on-strong-q3-earnings-report/articleshow/117772930.cms,"Suzlon Energy share price: Suzlon achieved its highest-ever quarterly deliveries, reaching 447 MW in Q3 FY25. The wind turbine generator segment was the key growth driver, with revenue soaring 132% year-on-year (YoY) to Rs 2,336 crore, compared to Rs 1,004 crore in the same period last year.","Jan 31, 2025, 11:12 AM IST",Economic Times
"Budget 2025: RVNL, ICICI Bank, Tata Motors among top 75 stocks to buy from brokerages",https://economictimes.indiatimes.com/markets/stocks/news/budget-2025-rvnl-icici-bank-tata-motors-among-top-75-stocks-to-buy-from-brokerages/articleshow/117772816.cms,"Brokerages expect a capex-driven budget prioritizing infrastructure, defense, railways, and financials while maintaining fiscal discipline. Key stock picks include L&T, HAL, BEL, SBI, and Maruti Suzuki. Sectors like renewable energy, real estate, auto, and BFSI may see policy boosts, while tax stability on STT and LTCG could support market sentiment.","Jan 31, 2025, 11:10 AM IST",Economic Times
Waaree Energies shares surge 14% as Q3 profit soars 296% YoY to Rs 493 crore,https://economictimes.indiatimes.com/markets/stocks/news/waaree-energies-shares-surge-14-as-q3-profit-soars-296-yoy-to-rs-493-crore/articleshow/117772451.cms,"Waaree Energies’ shares surged 14.4% to Rs 2,505.85 after reporting a 296% YoY rise in net profit to Rs 493 crore for Q3FY25. Revenue from operations rose 117% YoY to Rs 3,457 crore, though it declined 3.2% sequentially. Profit after tax (PAT) increased by 36% from the previous quarter, reflecting strong growth despite a slight revenue dip.","Jan 31, 2025, 11:02 AM IST",Economic Times
Jindal Steel & Power shares tumble 14% after Q3 profit down 51% YoY to Rs 951 crore,https://economictimes.indiatimes.com/markets/stocks/news/jindal-steel-power-shares-tumble-14-after-q3-profit-down-51-yoy-to-rs-951-crore/articleshow/117772200.cms,"Jindal Steel & Power Ltd (JSPL) saw a 14% drop in share price to Rs 724 following a 51% year-on-year decline in net profit to Rs 951 crore for Q3. Weak steel prices and cheaper imports impacted earnings, despite a 5% rise in sales volume. EBITDA fell 24%, with revenues flat at Rs 13,707 crore.","Jan 31, 2025, 10:57 AM IST",Economic Times
IGL shares begin trading ex-bonus today,https://economictimes.indiatimes.com/markets/stocks/news/igl-shares-begin-trading-ex-bonus-today/articleshow/117771955.cms,"Indraprastha Gas Ltd (IGL) shares began trading ex-bonus on January 31, 2025, after announcing a 1:1 bonus share issue. The record date for eligibility is January 31, with shares allocated on February 3. IGL, issuing bonus shares for the first time, has seen its stock decline 7.3% in the past year, with a 27.3% drop in the last six months.","Jan 31, 2025, 10:51 AM IST",Economic Times
"Stocks to buy in 2025: RIL, Maruti Suzuki among top 5 stocks that can give 15-30% returns",https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2025-ril-maruti-suzuki-among-top-5-stocks-that-can-give-15-30-returns/slideshow/117771249.cms,"Leading brokerage firms have reiterated their bullish stance on select stocks, highlighting strong growth potential across various sectors for the next 12 months.Bank of America remains positive on Reliance Industries despite a target price revision, citing a 25% upside. Investec continues to back Maruti Suzuki with an 18% upside projection.Nomura has reaffirmed its confidence in Bajaj Finance and CarTrade, emphasizing their strong fundamentals and industry leadership.Meanwhile, Morgan Stanley maintains its optimistic outlook on Ambuja Cements, projecting the highest upside of 29%.We have collated a list of recommendations from top brokerage firms from ETNow and other sources:","Jan 31, 2025, 10:34 AM IST",Economic Times
Bank of Baroda shares fall 5% as brokerages cut target price on Q3 miss,https://economictimes.indiatimes.com/markets/stocks/news/bank-of-baroda-shares-fall-5-as-brokerages-cut-target-price-on-q3-miss/articleshow/117770664.cms,"Bank of Baroda shares fell 5% as Q3 NII missed estimates due to lower NIM. Jefferies and HSBC cut targets to Rs 250. Nuvama sees value, retaining a ""BUY"" with a Rs 265 target. Despite weak loan growth, BoB’s profit rose 6% YoY, supported by strong non-interest income.","Jan 31, 2025, 10:19 AM IST",Economic Times
Will Indian markets be better off if the one-day mega Budget event is removed?,https://economictimes.indiatimes.com/markets/stocks/news/will-indian-markets-be-better-off-if-the-one-day-mega-budget-event-is-removed/articleshow/117769534.cms,"The Indian Budget day generates extreme hype and market volatility. Experts suggest spreading fiscal plans throughout the year, like the US and UK, to ensure more focused and timely policy interventions. This approach could improve India's overall economic management and reduce sudden market reactions.","Jan 31, 2025, 10:15 AM IST",Economic Times
These 6 F&O stocks saw a high increase in futures open interest,https://economictimes.indiatimes.com/markets/stocks/news/these-6-fo-stocks-saw-a-high-increase-in-futures-open-interest/slideshow/117770384.cms,"As of January 30, there was a notable surge in futures open interest for six stocks in the NSE F&O pack, contributing to a total increase in open interest of over 5% as compared to the previous trade. A significant uptick in futures open interest signifies a substantial growth in the number of active, unexpired futures contracts in a specific security. This uptrend reflects an increasing number of participants either initiating new positions or expanding the size of their existing positions within the futures market.","Jan 31, 2025, 10:12 AM IST",Economic Times
"Stock Radar: Dabur India steadies near 50-DMA, holding above 500; what should investors do?",https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-dabur-india-steadies-near-50-dma-holding-above-500-what-should-investors-do/articleshow/117744932.cms,"Dabur India hit a high of Rs 672 on September 17, 2024, but fell over 22% to Rs 518 by January 29, 2025. It breached key moving averages but found support above 500 in December. The stock rebounded, reclaiming the 21- & 50-DMA, signalling a short-term uptrend while still below the 100- and 200-DMA.","Jan 31, 2025, 10:00 AM IST",Economic Times
Is the worst of news & slowdown priced in? Time to change bias? 7 auto stocks which can give more than 28% return in 1 year,https://economictimes.indiatimes.com/markets/stocks/news/is-the-worst-of-news-slowdown-priced-in-time-to-change-bias-7-auto-stocks-which-can-give-more-than-28-return-in-1-year/articleshow/117769259.cms,"Have the markets bottomed out ? Maybe, maybe not. Now, one of the sectors that sparked the market decline was the auto sector. It was around mid-September that there was debate and discussion about whether the inventory pile-up in the auto sector suggested a slowdown in the economy. And that started the wave of correction. Now, in the past few days, there is a clear trend visible in the market: Good numbers are cheered by the street, and bad numbers are punished. Two auto companies saw a spike in stock prices because their Q3 numbers were better than expected; and one company, whose numbers were below expectation, saw a sharp decline. So, time to keep an eye on the auto sector?","Jan 31, 2025, 09:52 AM IST",Economic Times
"Budget & stock market: Why odds of Sensex, Nifty rallying are high after D-Day",https://economictimes.indiatimes.com/markets/stocks/news/budget-stock-market-why-odds-of-sensex-nifty-rallying-are-high-after-d-day/articleshow/117769355.cms,"Sensex and Nifty, currently experiencing a four-month negative run, have historically shown strong rebounds post-Budget when preceding expectations were low. With low market expectations for the upcoming budget, chances of a positive turn are high, especially in agriculture and infrastructure sectors.","Jan 31, 2025, 09:50 AM IST",Economic Times
Stock to buy today: CLSA sees over 20% upside in Tata Motors post Q3 results; Macquarie maintain outperform on BEL,https://economictimes.indiatimes.com/markets/stocks/news/stock-to-buy-today-clsa-sees-over-20-upside-in-tata-motors-post-q3-results-macquarie-maintain-outperform-on-bel/articleshow/117769146.cms,Brokerages remain bullish on key stocks. CLSA sees Tata Motors’ correction as a buying opportunity with strong JLR cash flows. Jefferies backs Shree Cements for its high EBITDA per ton. Macquarie favors Bharat Electronics due to a strong order pipeline. Analysts highlight long-term growth potential despite near-term challenges.,"Jan 31, 2025, 09:44 AM IST",Economic Times
